Date,Sensex_Return,Brazil_Returm,Crude_Return,DAX_Return,Dow_Jones_Return,Euro.INR_Return,Euro_Stoxx_Return,FTSE_Return,Gold_Return,VIX_Return,Jpn.INR_Return,NASDAQ_Return,Nifty_Return,S.P_Return,Usd.INR_Return,Movement,China_Return,Singapore_Return,Hong_Kong_Return,Nikkei_Return,Philippines_Return,Australia_Return,Shangai_Return,KOSPI_Return
06/01/2016,-0.001678547,0.006603539,-0.021490751,0.002592518,0.000566799,-0.009179719,0.004186731,0.007189711,-0.004365709,-0.007870508,0.001614639,-0.002378092,-0.000853516,0.002012262,-0.001501953,0,0.007634857,0.000620417,-0.008258481,0.000641891,0.003380755,-0.016336211,0.029574711,0.011674068
07/01/2016,-0.00680249,-0.015233153,-0.05560189,-0.009319017,-0.014695203,0.006353783,-0.012174285,-0.010405329,0.016184649,-0.008980692,0.008239298,-0.011379085,-0.005607189,-0.013115421,0.003309266,1,0.011720193,-0.014577814,-0.017501607,-0.014708942,-0.003449691,-0.011823933,0.005611952,-0.009585111
08/01/2016,-0.02182527,-0.025816111,-0.020606417,-0.022926331,-0.023210586,0.017265237,-0.017405043,-0.019643098,0.015139586,0.145446307,0.00977083,-0.030261985,-0.022309779,-0.023700421,0.002848576,0,-0.053128687,-0.031049128,-0.013513956,-0.031838331,-0.034482961,-0.022017919,-0.034755836,-0.013723371
11/01/2016,0.003319675,-0.002027536,-0.003306282,-0.013077351,-0.010151931,-0.001025305,-0.016601398,-0.006993524,-0.0073988,-0.061313291,0.00140746,-0.009766645,0.004366899,-0.010838407,-0.000597997,0,0.016031203,0.005449521,-0.024129558,-0.031838331,-0.009835946,0.006229964,-0.019651728,0.00410708
12/01/2016,-0.004383114,-0.016293622,-0.052774427,-0.002464124,0.00318846,-0.007834524,-0.00197134,-0.006868569,0.000594846,0.050147493,-0.003865074,-0.001214567,-0.004933334,0.000853265,-0.001346298,1,-0.040499986,-0.005698873,0.00163071,-0.005198656,-0.030722275,-0.011741605,-0.033746827,0.005497633
13/01/2016,-0.005760716,-0.010930029,-0.030881885,0.016321512,0.007174406,0.002606843,0.012277497,0.00977719,-0.012542835,0.001203852,0.003527337,0.010334218,-0.007079728,0.007802794,0.002846016,0,0.00637003,0.001151474,-5.84E-05,-0.001248359,0.007760716,-0.00143952,0.004940254,-0.001719429
14/01/2016,0.006971874,-0.014409891,0.00131406,-0.00245057,-0.022087984,0.001320668,0.002727872,0.005351445,0.001709694,-0.019238477,-0.000702988,-0.034114966,0.00693714,-0.02496544,-0.000448096,0,-0.010536274,-0.021248281,-0.022464584,-0.003678696,0.003755528,0.012649489,-0.054933889,-0.005855078
15/01/2016,-0.003264651,0.014268276,0.023622047,-0.016741358,0.014094126,0.004884147,-0.015951735,-0.007169974,0.006442012,0.013758344,0.0029898,0.019650645,-0.003385169,0.016695939,0.005977286,1,0.011458805,0.000685486,0.010344799,0.007910875,0.010350429,-0.011549104,0.039665281,0.011963997
18/01/2016,-0.012833746,-0.023569048,-0.057051282,-0.025416063,-0.023870127,0.01158705,-0.023650794,-0.019284482,0.011079742,0.043536684,0.015255129,-0.027427952,-0.013135548,-0.021599093,0.006833036,1,-0.027098281,-0.023813736,-0.024976923,-0.039693627,-0.020793647,0.004580153,-0.047023979,-0.031213625
19/01/2016,-0.010904501,-0.016382532,0.00907563,-0.002453571,-0.023870127,-0.003912717,-0.005788354,-0.004166021,-0.003607273,0.041720319,-0.004145078,-0.027427952,-0.011670118,-0.021599093,-0.001770434,0,-0.001294792,-0.002934146,-0.000197538,0.004478535,0.003212858,-0.002443933,0.023483428,0.012806905
20/01/2016,0.012050006,0.003156263,-0.051965356,0.014950876,0.001747552,0.002544098,0.015364228,0.016761478,-0.003372105,-0.088751545,-0.001387444,-0.002555465,0.01144062,0.000531822,0.001034585,1,0.026149784,0.010262994,0.002522873,0.007572347,9.29E-05,0.009429107,0.026969438,0.002957761
21/01/2016,-0.017067105,-0.010813514,-0.067111736,-0.028204064,-0.015564416,0.001691761,-0.032846948,-0.034580044,0.019443639,0.137547477,0.009378256,-0.001174907,-0.016919746,-0.011693855,0.003395836,1,-0.01688452,-0.012026656,-0.013091616,-0.033083426,-0.021455056,-0.01256348,-0.019585635,-0.019762804
22/01/2016,-0.004148859,0.001902752,0.112241055,0.019434305,0.007353454,-0.003877723,0.021276005,0.017662569,-0.005132005,-0.007274028,-0.008947006,8.27E-05,-0.00444639,0.00519542,-0.002354326,0,-0.022362978,-0.000821352,-0.004106057,-0.007903146,-0.015467427,0.008695652,-0.007933506,0.006601374
25/01/2016,0.019758194,0.008328051,0.090077887,0.019920285,0.013274208,-0.010756116,0.026933476,0.021860857,-0.004788098,-0.095735736,-0.012673611,0.026636494,0.020015666,0.020283683,-0.003687316,0,0.008690487,0.008860058,0.017926623,0.049525853,0.029965731,0.00663445,0.007890461,0.016045799
27/01/2016,0.002058058,0.008328051,-0.057471264,-0.002942176,-0.012942484,0.007884002,-0.007088492,-0.003899993,0.01145611,-0.029489904,0.007209425,-0.015832531,0.001845752,-0.015637946,0.003108808,0,-0.050478161,0.00519524,0.007500194,0.006894737,0.004245525,0.018429618,-0.052150826,0.003294595
28/01/2016,0.000263008,0.023438642,0.027027027,0.005911786,-0.013779107,0.007950518,0.003504966,0.013348648,0.00622372,0.043388995,0.003846154,-0.021783535,0.000215165,-0.010863456,0.005904931,1,-0.000296726,-0.014566871,-0.006146724,0.006528336,0.023882183,-0.012024128,-0.016298511,-0.001424735
29/01/2016,-0.000931718,0.006613966,0.028482972,-0.024413966,0.007851003,0.00288299,-0.021045057,-0.009780698,0.000477913,-0.060737243,-0.002438175,0.008618741,-0.001761285,0.005528559,-0.00132081,0,-0.017062817,0.011091569,0.002338459,0.005581529,0.014548377,0.006024584,-0.021507399,0.010411694
01/02/2016,0.016392605,0.045969228,0.012040939,0.016444683,0.024683814,-0.011915237,0.022041203,0.025626372,-0.006912615,-0.036871508,-0.021124302,0.023802444,0.018707953,0.024760215,-0.002498163,0,0.028244836,0.026185325,0.033050795,0.031742238,0.017518782,0.005888027,0.029451345,0.007669251
02/02/2016,-0.001843938,0.004060042,-0.0594884,-0.004105894,-0.001039699,0.004166922,-0.007907812,-0.003893954,0.012736828,0.037703016,-0.000178348,0.001391433,-0.001004819,-0.000443244,-0.000589275,0,-0.017260236,-0.018892323,-0.014976005,0.000955954,-0.012801393,0.007611627,-0.015745264,-0.002427564
03/02/2016,-0.011513875,-0.048653391,-0.055028463,-0.018122789,-0.017972932,0.004867185,-0.022893006,-0.022786753,0.003676692,0.008105087,0.010702818,-0.022383489,-0.013287542,-0.018743103,0.002063679,1,0.014401059,-0.013914495,-0.028959885,-0.012367553,-0.002324886,-0.009973035,0.01175232,-0.011034173
04/02/2016,-0.01286442,0.025718873,0.080321285,-0.015261391,0.011336215,0.016342973,-0.018706913,-0.014331283,0.005258876,0.030634877,0.01694317,-0.002813846,-0.012574525,0.004992039,-0.00073551,1,-0.009020459,0.004186216,0.014778794,-0.024363606,-0.007670772,-0.023331264,0.011715087,0.003511403
05/02/2016,0.004752032,0.031143136,-0.017348203,-0.00439436,0.004892065,0.003572636,0.002993133,0.01055654,0.014537334,-0.020443847,0.00399167,0.001181109,0.005732294,0.001526773,-0.005741204,0,0.010579799,0.002798693,0.005054621,-0.016435955,0.016868514,0.021243438,0.011503109,0.007403393
08/02/2016,0.011444452,-0.005625679,-0.026166456,-0.011404865,-0.012890017,-0.000468932,-0.008918184,-0.008595027,-0.004673232,-0.005080324,0.002765774,-0.0324688,0.011493787,-0.018481297,0.003997631,1,0.010579799,0.002798693,0.005054621,-0.010102123,0.016868514,-0.000843306,0.011503109,0.007403393
09/02/2016,-0.013387107,-0.005625679,-0.038847523,-0.033045703,-0.010979348,0.006772964,-0.032722209,-0.027137204,0.040971038,0.11827215,0.012411653,-0.018195611,-0.013599765,-0.014153879,0.003244359,1,0.010579799,0.002798693,0.005054621,0.002760378,0.008856303,-0.000160765,0.011503109,0.007403393
10/02/2016,-0.010970288,-0.005625679,-0.058942405,-0.011132197,-0.000790538,0.00655019,-0.017474696,-0.010048582,-0.001371866,0.072565716,0.004256768,-0.00349927,-0.012054553,-0.000663631,-0.001910922,0,0.010579799,-0.003674467,0.005054621,-0.032335561,-0.016868455,-0.028801704,0.011503109,0.007403393
11/02/2016,-0.010910462,-0.005309162,-0.017537581,0.015529202,-0.006221908,-0.000847679,0.019203362,0.007121564,-0.002677083,0.03394316,0.015089861,0.003474077,-0.011304157,-0.000188963,-0.000589102,1,0.010579799,-0.001218921,-0.041500236,-0.032335561,0.003553819,-0.011671944,0.011503109,-0.021869369
12/02/2016,-0.033969165,-0.026210244,-0.045173042,-0.029323666,-0.015995235,0.012021145,-0.038973844,-0.023858047,0.050197202,0.155797908,0.017203942,-0.003910272,-0.033170725,-0.012301146,0.008989095,1,0.010579799,-0.0078114,-0.011258224,-0.043501742,-0.001405036,0.00950646,0.011503109,-0.011753209
15/02/2016,0.001493999,0.012456032,0.123235406,0.024522242,0.020029144,-0.010724051,0.02828362,0.030816493,-0.002652686,-0.049778548,-0.012151067,0.016562608,0.000659371,0.019518009,-0.005111728,0,-0.002456939,0.011590546,0.021340022,-0.011531628,0.009145587,-0.011574122,-0.035255904,0.003598697
16/02/2016,0.024710564,0.007155337,0.052269601,0.026688568,0.020029144,-0.00917808,0.028195025,0.020442918,-0.02787702,-0.09311987,-0.011469415,0.016562608,0.02607095,0.019518009,0.0001468,1,-0.008640802,0.014372844,0.018472998,0.039419925,0.00501306,0.016410299,0.027419403,0.006875461
17/02/2016,-0.015375229,0.021320738,-0.050980392,-0.007790947,0.013933406,0.004032868,-0.004449745,0.006505525,0.00644648,0.02972067,0.009416513,0.022695049,-0.016012956,0.016516694,0.004990459,1,0.024906121,0.019102285,0.009700354,0.011727837,0.008719792,0.013729741,0.025803131,0.010325651
18/02/2016,0.008188179,0.016682744,0.055785124,0.026502144,0.015893646,-0.003551444,0.027101366,0.028683917,0.000632178,-0.052408854,-0.002498751,0.022117021,0.008541127,0.016480444,-0.002044691,0,0.006143606,-0.002212965,0.010992188,0.006406471,0.000714219,-0.005682281,0.018383184,0.010580022
19/02/2016,0.011434073,-0.003679726,0.003587736,0.009217027,-0.002455355,0.001229681,-0.000886904,-0.00967942,0.001325166,-0.015916638,0.010855043,-0.01026012,0.011718448,-0.004665719,0.003073321,1,-0.003484617,0.005266976,-0.008798916,-0.005433112,0.009362277,0.022510805,-0.009327568,-0.002566251
22/02/2016,0.002534122,0.001585674,-0.036724082,-0.007987413,-0.001306247,0.002522018,-0.008324266,-0.003637003,0.017396172,-0.026530137,0.006112671,0.003763755,0.002641916,-2.61E-05,0.0001459,0,-0.002010689,-0.002567071,0.007059308,-0.012399068,-0.007658189,-0.007852564,0.011804266,0.00370701
23/02/2016,0.003359041,0.040715252,0.062078273,0.019763423,0.013950106,-0.009604109,0.021894429,0.014705314,-0.015398334,0.00502032,-0.003448276,0.014692203,0.003300628,0.014454213,-0.000291758,1,0.021784306,0.009891514,0.006849301,0.023908944,0.000469633,0.00977225,0.012847054,0.009044969
24/02/2016,-0.01591548,-0.016512374,0.012388818,-0.01638048,-0.01136417,-0.000403501,-0.015859382,-0.01249145,0.008215793,0.13403901,0.007579502,-0.014665439,-0.0172782,-0.012454382,0.000437764,1,-0.010728995,-0.009473739,-0.011513851,-0.023366674,0.002454482,-0.004318963,-0.0122466,-0.010441455
25/02/2016,-0.013722663,-0.010262708,0.008785692,-0.026439002,0.003238237,-0.002574181,-0.023252914,-0.015955225,0.024371278,-0.0370215,-0.002452984,0.008666439,-0.012778587,0.004439772,-0.001896149,1,0.006344505,-0.005526152,-0.003466903,0.008348932,0.002454482,-0.021005703,0.011197697,0.005432989
26/02/2016,-0.004891088,-0.004672973,0.028615863,0.017853793,0.012878382,0.005871543,0.02027487,0.024821124,-0.009487195,-0.009148334,-0.002295082,0.008715254,-0.006853121,0.011348326,0.004968581,0,-0.046163493,-0.005056856,-0.00184955,0.020524329,-0.011891533,0.001271795,-0.055498522,0.004179086
29/02/2016,0.007760272,-0.007038309,-0.008769277,0.019484583,-0.003432892,-0.008554732,0.017981386,0.013837124,-0.007686231,-0.038689822,-0.009365757,0.00180481,0.00848564,-0.001870164,-0.000436237,1,0.010305571,0.015015438,0.009709097,0.000109738,0.00678165,-0.000245841,-0.001902133,-0.002771003
01/03/2016,-0.006577612,0.028869706,0.029591214,-0.001881576,-0.007420085,-0.013238865,0.00566374,0.000177165,0.0024534,-0.078092842,0.00398076,-0.007084242,-0.006074185,-0.008120941,-0.007710212,0,-0.007289274,0.000240054,-0.005482757,-0.018408894,-0.015685291,0.000184426,-0.024114186,-0.002771003
02/03/2016,0.033794887,0.031030853,0.019259259,0.023354466,0.021104956,-0.007213888,0.017190868,0.009150267,-0.006021444,-0.07366985,-0.018338014,0.028883599,0.033669431,0.023868794,-0.006743879,0,0.013195339,0.019334686,0.02742369,0.023635796,0.016591837,0.008482042,0.016883774,0.011713221
